mes,mes_nombre,dia,fecha,ventas_brutas,pagos_terceros,ingreso_real,gastos,saldo_dia
2026-01,Enero,15,2026-01-15,825250,490000,335250,198200,137050
2026-01,Enero,16,2026-01-16,60000,30000,30000,0,30000
2026-01,Enero,17,2026-01-17,399000,228000,171000,2000,169000
2026-01,Enero,18,2026-01-18,0,0,0,340000,-340000
2026-01,Enero,19,2026-01-19,231000,132000,99000,100000,-1000
2026-01,Enero,20,2026-01-20,87500,50000,37500,0,37500
2026-01,Enero,21,2026-01-21,355250,221000,134250,15000,119250
2026-01,Enero,22,2026-01-22,78750,60000,18750,0,18750
2026-01,Enero,24,2026-01-24,442400,252941,189459,0,189459
2026-01,Enero,26,2026-01-26,0,0,0,20000,-20000
2026-01,Enero,28,2026-01-28,405124,231500,173624,0,173624
2026-01,Enero,29,2026-01-29,157500,90000,67500,72000,-4500
2026-01,Enero,30,2026-01-30,0,0,0,15000,-15000
2026-01,Enero,31,2026-01-31,157500,90000,67500,15000,52500
2026-02,Febrero,5,2026-02-05,332500,190000,142500,70000,72500
2026-02,Febrero,6,2026-02-06,421000,232000,189000,64250,124750
2026-02,Febrero,7,2026-02-07,96250,55000,41250,1300000,-1258750
2026-02,Febrero,8,2026-02-08,0,0,0,46000,-46000
2026-02,Febrero,9,2026-02-09,0,0,0,120000,-120000
2026-02,Febrero,11,2026-02-11,0,0,0,70000,-70000
2026-02,Febrero,13,2026-02-13,339500,205000,134500,70000,64500
2026-02,Febrero,14,2026-02-14,1554275,887300,666975,80000,586975
2026-02,Febrero,15,2026-02-15,1291500,738000,553500,80000,473500
2026-02,Febrero,16,2026-02-16,490000,280000,210000,0,210000
2026-02,Febrero,17,2026-02-17,642250,367000,275250,80000,195250
2026-02,Febrero,18,2026-02-18,1509375,870000,639375,80000,559375
2026-02,Febrero,19,2026-02-19,805000,460000,345000,120000,225000
2026-02,Febrero,20,2026-02-20,159750,86500,73250,80000,-6750
2026-02,Febrero,21,2026-02-21,1964400,1181235,783165,95000,688165
2026-02,Febrero,22,2026-02-22,760000,430000,330000,80000,250000
2026-02,Febrero,23,2026-02-23,0,0,0,170000,-170000
2026-02,Febrero,24,2026-02-24,976750,557941,418809,102250,316559
2026-02,Febrero,25,2026-02-25,706937,487250,219687,95000,124687
2026-02,Febrero,26,2026-02-26,545000,349000,196000,80000,116000
2026-02,Febrero,27,2026-02-27,1774900,1034588,740312,105000,635312
2026-02,Febrero,28,2026-02-28,2417750,1515250,902500,101000,801500
2026-03,Marzo,1,2026-03-01,1448750,865000,583750,70000,513750
2026-03,Marzo,3,2026-03-03,448000,256000,192000,80000,112000
2026-03,Marzo,4,2026-03-04,691687,410250,281437,80000,201437
2026-03,Marzo,5,2026-03-05,158750,95000,63750,166000,-102250
2026-03,Marzo,6,2026-03-06,280000,160000,120000,1395000,-1275000
2026-03,Marzo,7,2026-03-07,1058750,605000,453750,0,453750
